Class,FA Card,Description,Major Category,IHS Categorization,My Categorization,Parent,Sub-FA Card,Bar Code,Status,Remarks,Site New Code,Alternate Site ID,Acquisition Cost 31/12/17,Addition in Period,Disposal in Period,Acquisition Cost 31/07/18,Depreciation 31/12/17,Depreciation in Period,Disposal Depreciation in Period,Depreciation 31/07/18,Book Value 31/12/17,Book Value 31/07/18,Dep. Start date,Useful life
TW,FA/TW267259,20KVA Mantrac Generator,TOWER,Generator,Generator,Parent,,,NF,,IHS_OND_898A,IHS_OND_0898A,"1,754,352.60",0,0,"1,754,352.60","-925,908.00","-341,124.00",0,"-1,267,032.00","828,444.60","487,320.60",6/1/2016,3
TW,FA/TW107258,Installation Of Gen Set,TOWER,Generator,Generator,Child,FA/TW149877,,F,,IHS_OND_872A,IHS_OND_0872A,"20,343.75",0,0,"20,343.75","-13,579.00","-3,956.00",0,"-17,535.00","6,764.75","2,808.75",12/31/2015,3
TW,FA/TW146762,I C Cost for 27KVA GEN Set (GEN SET PR REF 4716,TOWER,Generator,Generator,Child,FA/TW219558,,F,,IHS_OND_897A,IHS_OND_0897A,"12,532.65",0,0,"12,532.65","-12,532.65",0,0,"-12,532.65",0,0,12/5/2014,1.40277778
TW,FA/TW146763,I C Cost for 27KVA GEN Set (GEN SET PR REF 4716,TOWER,Generator,Generator,Child,FA/TW219558,,F,,IHS_OND_897A,IHS_OND_0897A,"12,532.65",0,0,"12,532.65","-12,532.65",0,0,"-12,532.65",0,0,12/5/2014,1.40277778
TW,FA/TW139265,15KVA SINGLE PHASE SOUNDPROOFED GENSET,TOWER,Generator,Generator,Parent,,,F,,IHS_OND_895A,IHS_OND_0895A,"1,003,598.16",0,0,"1,003,598.16","-1,003,598.16",0,0,"-1,003,598.16",0,0,12/5/2014,1.80833333
TW,FA/TW128838,OD3392 Transportation and Installation of 15KVA,TOWER,Generator,Generator,Child,FA/TW291831,,F,,IHS_OND_878A,IHS_OND_0878A,"6,000.00",0,0,"6,000.00","-6,000.00",0,0,"-6,000.00",0,0,12/5/2014,0.98888889
TW,FA/TW146760,I C Cost for 27KVA GEN Set (GEN SET PR REF 4716,TOWER,Generator,Generator,Child,FA/TW180240,,F,,IHS_OND_878A,IHS_OND_0878A,"12,532.65",0,0,"12,532.65","-12,532.65",0,0,"-12,532.65",0,0,12/5/2014,1.40277778
TW,FA/TW128015,Transportation installation of 27KVA Genset (vat,TOWER,Generator,Generator,Child,FA/TW262882,,F,,IHS_OND_871A,IHS_OND_0871A,"21,786.30",0,0,"21,786.30","-21,786.30",0,0,"-21,786.30",0,0,12/5/2014,1.15555556
TW,FA/TW129072,OD3393 Transportation and Installation of 15KVA,TOWER,Generator,Generator,Child,FA/TW262882,,F,,IHS_OND_871A,IHS_OND_0871A,"6,000.00",0,0,"6,000.00","-6,000.00",0,0,"-6,000.00",0,0,12/5/2014,0.90833333
TW,FA/TW129233,T3835 I C Transportation of 15KVA ( 1000hrs ),TOWER,Generator,Generator,Child,FA/TW220116,,F,,IHS_OND_881A,IHS_OND_0881A,"6,000.00",0,0,"6,000.00","-6,000.00",0,0,"-6,000.00",0,0,12/5/2014,0.825
